model,feature_set,threshold,net_benefit
treat_all,combined,0.05,0.31701214137450595
treat_none,combined,0.05,0.0
treat_all,combined,0.1,0.2790683714508674
treat_none,combined,0.1,0.0
treat_all,combined,0.15,0.2366606285950361
treat_none,combined,0.15,0.0
treat_all,combined,0.2,0.18895191788222584
treat_none,combined,0.2,0.0
treat_all,combined,0.25,0.1348820457410409
treat_none,combined,0.25,0.0
treat_all,combined,0.3,0.07308790615111521
treat_none,combined,0.3,0.0
treat_all,combined,0.35,0.0017869758550472237
treat_none,combined,0.35,0.0
treat_all,combined,0.4,-0.08139744282369893
treat_none,combined,0.4,0.0
treat_all,combined,0.45,-0.17970630126221687
treat_none,combined,0.45,0.0
treat_all,combined,0.5,-0.29767693138843865
treat_none,combined,0.5,0.0
treat_all,combined,0.55,-0.44186325709826535
treat_none,combined,0.55,0.0
treat_all,combined,0.6,-0.6220961642355481
treat_none,combined,0.6,0.0
treat_all,combined,0.65,-0.8538241876977696
treat_none,combined,0.65,0.0
treat_all,combined,0.7,-1.1627948856473975
treat_none,combined,0.7,0.0
treat_all,combined,0.75,-1.5953538627768773
treat_none,combined,0.75,0.0
treat_all,combined,0.8,-2.244192328471097
treat_none,combined,0.8,0.0
logistic_regression,combined,0.05,0.33236657283403
logistic_regression,combined,0.1,0.31676571222762473
logistic_regression,combined,0.15,0.2992976769313884
logistic_regression,combined,0.2,0.28538627768773633
logistic_regression,combined,0.25,0.2692238429677652
logistic_regression,combined,0.3,0.2536080882920429
logistic_regression,combined,0.35,0.23550679466400698
logistic_regression,combined,0.4,0.21591932288852866
logistic_regression,combined,0.45,0.1986149992632975
logistic_regression,combined,0.5,0.17990275526742303
logistic_regression,combined,0.55,0.160033615463113
logistic_regression,combined,0.6,0.13533225283630473
logistic_regression,combined,0.65,0.1156903604229374
logistic_regression,combined,0.7,0.08535926526202055
logistic_regression,combined,0.75,0.059427336574824435
logistic_regression,combined,0.8,0.028633171258778997
random_forest,combined,0.05,0.3336461087889903
random_forest,combined,0.1,0.3153850771354823
random_forest,combined,0.15,0.298090062605269
random_forest,combined,0.2,0.282279848730416
random_forest,combined,0.25,0.2656221862056546
random_forest,combined,0.3,0.2504437755653315
random_forest,combined,0.35,0.2344678552133982
random_forest,combined,0.4,0.21645957140284533
random_forest,combined,0.45,0.19502971366828742
random_forest,combined,0.5,0.17774176121015667
random_forest,combined,0.55,0.16153430578065908
random_forest,combined,0.6,0.13479200432198812
random_forest,combined,0.65,0.10550281701011034
random_forest,combined,0.7,0.07779578606158832
random_forest,combined,0.75,0.047001620745542955
random_forest,combined,0.8,0.01566720691518097
xgboost,combined,0.05,0.3227558361056612
xgboost,combined,0.1,0.30728134942073354
xgboost,combined,0.15,0.28807957542822643
xgboost,combined,0.2,0.26985413290113447
xgboost,combined,0.25,0.2567981271384837
xgboost,combined,0.3,0.24164544261788992
xgboost,combined,0.35,0.22919004280430536
xgboost,combined,0.4,0.21141725193589048
xgboost,combined,0.45,0.19213201709149846
xgboost,combined,0.5,0.17071853052404107
xgboost,combined,0.55,0.14874842427516657
xgboost,combined,0.6,0.12209616423554834
xgboost,combined,0.65,0.09199660415219568
xgboost,combined,0.7,0.04736178642175404
xgboost,combined,0.75,-0.0005402485143166103
xgboost,combined,0.8,-0.049702863317125895
