feature,importance,raw_value,model,feature_set
RIDAGEYR,1.8290695461210444,1.8290695461210444,logistic_regression,combined
RIDRETH1,1.483860173005452,-0.4352987989165893,logistic_regression,combined
diet_kcal,1.3606361848309398,-1.3606361848309398,logistic_regression,combined
activity_days_total,0.942248383615216,-0.942248383615216,logistic_regression,combined
diet_tfat,0.8808130402040958,-0.8808130402040958,logistic_regression,combined
diet_carb,0.6607175625221173,0.6607175625221173,logistic_regression,combined
BMXWT,0.6168186380936392,0.6168186380936392,logistic_regression,combined
diet_sfat,0.6129489924767672,0.6129489924767672,logistic_regression,combined
DMDMARTL,0.4967276202588818,-0.43529879891659307,logistic_regression,combined
DMDEDUC2,0.45437386717672945,-0.4352987989165861,logistic_regression,combined
RIAGENDR,0.43529879891659007,-0.43529879891659007,logistic_regression,combined
PAD630,0.39832047551304545,0.39832047551304545,logistic_regression,combined
diet_mfat,0.3945343442590529,0.3945343442590529,logistic_regression,combined
BMXWAIST,0.3941201170083116,0.3941201170083116,logistic_regression,combined
diet_pfat,0.3743481207202787,0.3743481207202787,logistic_regression,combined
PAQ605,0.34633627296735875,-0.34633627296735875,logistic_regression,combined
PAQ620,0.2774883067143687,-0.2774883067143687,logistic_regression,combined
PAD615,0.25888879356565736,0.25888879356565736,logistic_regression,combined
diet_alco,0.23903680112660508,0.23903680112660508,logistic_regression,combined
diet_prot,0.22625278316832767,0.22625278316832767,logistic_regression,combined
diet_sodi,0.21174503946703463,0.21174503946703463,logistic_regression,combined
PAD660,0.17932059445006238,0.17932059445006238,logistic_regression,combined
SLQ050,0.15608984634599873,-0.15608984634599873,logistic_regression,combined
BMXHT,0.12898373199348018,-0.12898373199348018,logistic_regression,combined
PAD645,0.12484525270219142,0.12484525270219142,logistic_regression,combined
BMXBMI,0.12308157538352588,-0.12308157538352588,logistic_regression,combined
PAQ635,0.10867242478782826,-0.10867242478782826,logistic_regression,combined
SLQ030,0.08875002803459146,0.08875002803459146,logistic_regression,combined
PAQ610,0.07744244810689817,0.07744244810689817,logistic_regression,combined
ALQ111,0.07187046420039683,0.07187046420039683,logistic_regression,combined
diet_sugr,0.06995017127178721,0.06995017127178721,logistic_regression,combined
PAQ650,0.06402367869020874,-0.06402367869020874,logistic_regression,combined
SLQ040,0.06316352407026207,0.06316352407026207,logistic_regression,combined
PAQ655,0.05892616256560195,-0.05892616256560195,logistic_regression,combined
ALQ280,0.05642661359953258,0.05642661359953258,logistic_regression,combined
ALQ270,0.05176034982825783,-0.05176034982825783,logistic_regression,combined
ALQ170,0.051468509270606144,0.051468509270606144,logistic_regression,combined
PAD675,0.0453830568560831,-0.0453830568560831,logistic_regression,combined
ALQ130,0.0434741259099795,0.0434741259099795,logistic_regression,combined
SLQ120,0.03931698166674335,-0.03931698166674335,logistic_regression,combined
PAQ625,0.03891278542118217,-0.03891278542118217,logistic_regression,combined
diet_fibe,0.03785681344797126,-0.03785681344797126,logistic_regression,combined
PAD680,0.029328032396977236,0.029328032396977236,logistic_regression,combined
ALQ151,0.018440375599123364,-0.018440375599123364,logistic_regression,combined
PAQ670,0.014775588534685224,-0.014775588534685224,logistic_regression,combined
PAQ640,0.009737176976986974,-0.009737176976986974,logistic_regression,combined
ALQ121,0.009324301779700965,-0.009324301779700965,logistic_regression,combined
SLD013,0.007835884547598827,0.007835884547598827,logistic_regression,combined
SLD012,0.006252610892248616,0.006252610892248616,logistic_regression,combined
ALQ290,0.004381342854276012,-0.004381342854276012,logistic_regression,combined
PAQ665,0.004353473930886743,0.004353473930886743,logistic_regression,combined
ALQ142,0.0017954057312835853,-0.0017954057312835853,logistic_regression,combined
