intervention,mean_baseline_risk,mean_post_risk,mean_risk_reduction,median_risk_reduction,pct_people_improved,n_eligible,model,feature_set,n_people
reduce_weight_25pct,0.546339366946756,0.4239694770480514,0.12236988989870458,0.12633626552998412,1.0,906,logistic_regression,combined,1851
reduce_weight_20pct,0.546339366946756,0.44888993043999714,0.09744943650675886,0.09985437350207574,1.0,906,logistic_regression,combined,1851
reduce_weight_15pct,0.546339366946756,0.473679195627816,0.07266017131893998,0.07387780787668807,1.0,906,logistic_regression,combined,1851
reduce_weight_10pct,0.546339366946756,0.4982405259314893,0.048098841015266645,0.04811421602005499,1.0,906,logistic_regression,combined,1851
reduce_weight_5pct,0.546339366946756,0.5224867392166311,0.023852627730124816,0.023728123063417456,1.0,906,logistic_regression,combined,1851
reduce_sodium_25pct,0.4148831836964965,0.39730838021605996,0.01757480348043658,0.015652190614744654,1.0,995,logistic_regression,combined,1851
reduce_sodium_20pct,0.4148831836964965,0.40082272737632907,0.014060456320167492,0.012464295035702455,1.0,995,logistic_regression,combined,1851
reduce_sodium_15pct,0.4148831836964965,0.4043377398583068,0.010545443838189715,0.009263002978316504,1.0,995,logistic_regression,combined,1851
reduce_sodium_10pct,0.4148831836964965,0.40785305470976346,0.007030128986733135,0.006193799885737206,1.0,995,logistic_regression,combined,1851
increase_activity_5days,0.6205930434255923,0.6163742607293987,0.004218782696193659,0.004431417549496275,1.0,411,logistic_regression,combined,1851
reduce_sodium_5pct,0.4148831836964965,0.41136831778808125,0.003514865908415329,0.0030988687681414856,1.0,995,logistic_regression,combined,1851
increase_activity_4days,0.6205930434255923,0.6172194558776155,0.0033735875479768904,0.0035400027657372934,1.0,411,logistic_regression,combined,1851
reduce_alcohol_25pct,0.38059722122614226,0.37725373048646793,0.003343490739674362,0.0,0.16919025674786042,1519,logistic_regression,combined,1851
reduce_alcohol_20pct,0.38059722122614226,0.3779269023684359,0.002670318857706304,0.0,0.16919025674786042,1519,logistic_regression,combined,1851
increase_activity_3days,0.6205930434255923,0.6180639347918029,0.0025291086337894523,0.0026528732616127315,1.0,411,logistic_regression,combined,1851
reduce_alcohol_15pct,0.38059722122614226,0.3785988434129253,0.0019983778132169304,0.0,0.16919025674786042,1519,logistic_regression,combined,1851
increase_activity_2days,0.6205930434255923,0.618907694395531,0.0016853490300613651,0.001771148810296913,1.0,411,logistic_regression,combined,1851
reduce_alcohol_10pct,0.38059722122614226,0.37926855668137843,0.0013286645447638256,0.0,0.16919025674786042,1519,logistic_regression,combined,1851
increase_activity_1day,0.6205930434255923,0.619750731624311,0.0008423118012812884,0.0008854412483614293,1.0,411,logistic_regression,combined,1851
reduce_alcohol_5pct,0.38059722122614226,0.3799350102355046,0.0006622109906376587,0.0,0.16919025674786042,1519,logistic_regression,combined,1851
sleep_at_least_6_5h,0.5428395552889259,0.5441142603928316,-0.00127470510390574,-0.0008584586598814337,0.0,281,logistic_regression,combined,1851
sleep_at_least_6h,0.5641263876021224,0.5654850861392139,-0.0013586985370915117,-0.0010862312495352744,0.0,149,logistic_regression,combined,1851
sleep_at_least_7h,0.531967250913757,0.5335260381195878,-0.0015587872058307976,-0.0011852066493759916,0.0,357,logistic_regression,combined,1851
sleep_at_least_7_5h,0.531967250913757,0.5340811120854195,-0.002113861171662484,-0.0017634948011180374,0.0,357,logistic_regression,combined,1851
sleep_at_least_8h,0.5135015986240252,0.5156387874857129,-0.0021371888616875914,-0.0016827143485593221,0.0,478,logistic_regression,combined,1851
